model,stock,n_test,mape
prophet,AAPL,5,0.019017926700543114
ann_single,AAPL,5,0.004594166406464306
ann_multi,AAPL,5,0.005284406115635535
cnn_single,AAPL,5,0.0020742796220873903
cnn_multi,AAPL,5,0.005044013591121223
lstm_single,AAPL,5,0.0037225060326775846
lstm_multi,AAPL,5,0.005504634302151662
gru_single,AAPL,5,0.003384940050383118
gru_multi,AAPL,5,0.005299227461441599
prophet,UAL,5,0.003368965143319906
ann_single,UAL,5,0.006382941775346482
ann_multi,UAL,5,0.005155344200685299
cnn_single,UAL,5,0.0028148602567715296
cnn_multi,UAL,5,0.002260616862302786
lstm_single,UAL,5,0.0035185620651562097
lstm_multi,UAL,5,0.0024144153047118465
gru_single,UAL,5,0.0019696472914223855
gru_multi,UAL,5,0.0016169463855165976
prophet,WMT,5,0.002755983890212168
ann_single,WMT,5,0.001557918982447403
ann_multi,WMT,5,0.001974162974722013
cnn_single,WMT,5,0.0011730928357043056
cnn_multi,WMT,5,0.0021309563144327266
lstm_single,WMT,5,0.001477546661390721
lstm_multi,WMT,5,0.0017305701242998576
gru_single,WMT,5,0.001772609352733684
gru_multi,WMT,5,0.0016653412674654527
prophet,PFE,5,0.007243354720923803
ann_single,PFE,5,0.003077015198191544
ann_multi,PFE,5,0.0012341942860851901
cnn_single,PFE,5,0.003611661112450144
cnn_multi,PFE,5,0.0015525324910601666
lstm_single,PFE,5,0.0024787666427508437
lstm_multi,PFE,5,0.002174469162141484
gru_single,PFE,5,0.0014296942450641149
gru_multi,PFE,5,0.002712810970044522
prophet,MA,5,0.003480551560854564
ann_single,MA,5,0.0008620746111455798
ann_multi,MA,5,0.0019232083889778706
cnn_single,MA,5,0.003747197645531217
cnn_multi,MA,5,0.0016858426937688934
lstm_single,MA,5,0.0017667959133764427
lstm_multi,MA,5,0.00125988240720818
gru_single,MA,5,0.0008182208512446122
gru_multi,MA,5,0.0014148823378157902
prophet,MCD,5,0.0008618256633099481
ann_single,MCD,5,0.0007197880685772708
ann_multi,MCD,5,0.0008910334784838516
cnn_single,MCD,5,0.001367998782958274
cnn_multi,MCD,5,0.00083886748848442
lstm_single,MCD,5,0.0008081884172321949
lstm_multi,MCD,5,0.000825259230881511
gru_single,MCD,5,0.0006594428312480709
gru_multi,MCD,5,0.0006990075217170412
prophet,OXY,5,0.05674580600134756
ann_single,OXY,5,0.0034852182542866156
ann_multi,OXY,5,0.006770701194690179
cnn_single,OXY,5,0.006107097349846093
cnn_multi,OXY,5,0.006038646557567175
lstm_single,OXY,5,0.008353235562516723
lstm_multi,OXY,5,0.005069919111788646
gru_single,OXY,5,0.005846898696119416
gru_multi,OXY,5,0.005620514680602059
prophet,BA,5,0.03455952158252462
ann_single,BA,5,0.0017700657372160694
ann_multi,BA,5,0.001027014083726852
cnn_single,BA,5,0.0015608454397633975
cnn_multi,BA,5,0.001987835031275117
lstm_single,BA,5,0.0010689224419830035
lstm_multi,BA,5,0.002364926041267282
gru_single,BA,5,0.0012081391256278026
gru_multi,BA,5,0.0016276754452325757
prophet,GE,5,0.0042054683812439075
ann_single,GE,5,0.0029129057781465003
ann_multi,GE,5,0.004578658013975856
cnn_single,GE,5,0.006663257690028628
cnn_multi,GE,5,0.0033445901165297096
lstm_single,GE,5,0.0038622928332337977
lstm_multi,GE,5,0.005011851175149501
gru_single,GE,5,0.0027072317564372055
gru_multi,GE,5,0.003364807693703912
prophet,GM,5,0.02311293098321487
ann_single,GM,5,0.008435465730766315
ann_multi,GM,5,0.004914078573268807
cnn_single,GM,5,0.00492335754981447
cnn_multi,GM,5,0.0048052445731432
lstm_single,GM,5,0.0031210478547222973
lstm_multi,GM,5,0.0034966140068695786
gru_single,GM,5,0.003598559706933637
gru_multi,GM,5,0.0029685873187024953
prophet,AAPL,10,0.02320493275586226
ann_single,AAPL,10,0.009134189284469303
ann_multi,AAPL,10,0.008516200458849658
